"Method","Freq","SurveyName","Country","StartYear"
"Other Modern Method",0.0010511318540849,"BJIR71FL.DTA","Benin",2017
"Standard Days Method",0.0220101736534882,"BJIR71FL.DTA","Benin",2017
"Pill",0.0933100438228005,"BJIR61FL.DTA","Benin",2011
"IUD",0.0295705451617066,"BJIR61FL.DTA","Benin",2011
"Injections",0.121146402450379,"BJIR61FL.DTA","Benin",2011
"Male Condom",0.230672847336891,"BJIR61FL.DTA","Benin",2011
"Female Sterilization",0.00829732897839817,"BJIR61FL.DTA","Benin",2011
"Periodic Abstinence",0.218694221861232,"BJIR61FL.DTA","Benin",2011
"Withdrawal",0.0497402120035406,"BJIR61FL.DTA","Benin",2011
"Other",0.0921032214855772,"BJIR61FL.DTA","Benin",2011
"Implant",0.055863246697791,"BJIR61FL.DTA","Benin",2011
"Lactational Amenorrhea",0.0254742546839925,"BJIR61FL.DTA","Benin",2011
"Female Condom",0.00354656543628161,"BJIR61FL.DTA","Benin",2011
"Foam Or Jelly",0.000446177011428047,"BJIR61FL.DTA","Benin",2011
"Other Modern Method",0.0711349330699813,"BJIR61FL.DTA","Benin",2011
"Pill",0.18017943968653,"BFIR62FL.DTA","Burkina Faso",2010
"IUD",0.0149771350476464,"BFIR62FL.DTA","Burkina Faso",2010
"Injections",0.331936392711648,"BFIR62FL.DTA","Burkina Faso",2010
"Male Condom",0.199926127718017,"BFIR62FL.DTA","Burkina Faso",2010
"Female Sterilization",0.00967968023329793,"BFIR62FL.DTA","Burkina Faso",2010
"Periodic Abstinence",0.0582703601650413,"BFIR62FL.DTA","Burkina Faso",2010
"Withdrawal",0.00377437638204827,"BFIR62FL.DTA","Burkina Faso",2010
"Other Traditional Method",0.00345304818034561,"BFIR62FL.DTA","Burkina Faso",2010
"Implant",0.187335879819711,"BFIR62FL.DTA","Burkina Faso",2010
"Lactational Amenorrhea",0.00424685301131759,"BFIR62FL.DTA","Burkina Faso",2010
"Female Condom",0.00226070963183601,"BFIR62FL.DTA","Burkina Faso",2010
"Foam Or Jelly",0.00120048893037305,"BFIR62FL.DTA","Burkina Faso",2010
"Other Modern Method",0.00152581322841395,"BFIR62FL.DTA","Burkina Faso",2010
"Standard Days Method",0.00123369525377414,"BFIR62FL.DTA","Burkina Faso",2010
"Pill",0.0586306232488245,"BUIR70FL.DTA","Burundi",2016
"IUD",0.0326918252060297,"BUIR70FL.DTA","Burundi",2016
"Injections",0.397992518782682,"BUIR70FL.DTA","Burundi",2016
"Male Condom",0.0652516713770426,"BUIR70FL.DTA","Burundi",2016
"Female Sterilization",0.0175309887003422,"BUIR70FL.DTA","Burundi",2016
"Male Sterilization",0.0042022369620755,"BUIR70FL.DTA","Burundi",2016
"Periodic Abstinence",0.0747861667632491,"BUIR70FL.DTA","Burundi",2016
"Withdrawal",0.10316930974368,"BUIR70FL.DTA","Burundi",2016
"Other Traditional Method",0.00722417612189609,"BUIR70FL.DTA","Burundi",2016
"Implant",0.213885517644165,"BUIR70FL.DTA","Burundi",2016
"Lactational Amenorrhea",0.0058487794958878,"BUIR70FL.DTA","Burundi",2016
"Female Condom",0.00092643566109208,"BUIR70FL.DTA","Burundi",2016
"Emergency Contraception",0.00313508666202123,"BUIR70FL.DTA","Burundi",2016
"Standard Days Method",0.0147246636310119,"BUIR70FL.DTA","Burundi",2016
"Pill",0.107938771063295,"BUIR61FL.DTA","Burundi",2010
"IUD",0.124130304192221,"BUIR61FL.DTA","Burundi",2010
"Injections",0.472235713927235,"BUIR61FL.DTA","Burundi",2010
"Male Condom",0.0588432674160212,"BUIR61FL.DTA","Burundi",2010
"Female Sterilization",0.0266130674360365,"BUIR61FL.DTA","Burundi",2010
"Periodic Abstinence",0.0806901051641348,"BUIR61FL.DTA","Burundi",2010
"Withdrawal",0.098484725614085,"BUIR61FL.DTA","Burundi",2010
"Implant",0.028089564704661,"BUIR61FL.DTA","Burundi",2010
"Lactational Amenorrhea",0.00102420469735024,"BUIR61FL.DTA","Burundi",2010
"Female Condom",0.000621483463714069,"BUIR61FL.DTA","Burundi",2010
"Foam Or Jelly",0.000478782527947609,"BUIR61FL.DTA","Burundi",2010
"Other Modern Method",0.000850009793298844,"BUIR61FL.DTA","Burundi",2010
"Pill",0.3097615858395,"KHIR73FL.DTA","Cambodia",2014
"IUD",0.0782124844152877,"KHIR73FL.DTA","Cambodia",2014
"Injections",0.161569811680896,"KHIR73FL.DTA","Cambodia",2014
"Male Condom",0.0392029396538621,"KHIR73FL.DTA","Cambodia",2014
"Female Sterilization",0.057159253878087,"KHIR73FL.DTA","Cambodia",2014
"Male Sterilization",0.00152144676750361,"KHIR73FL.DTA","Cambodia",2014
"Periodic Abstinence",0.0527459351345007,"KHIR73FL.DTA","Cambodia",2014
"Withdrawal",0.255138839482804,"KHIR73FL.DTA","Cambodia",2014
"Other Traditional Method",0.00146770037298851,"KHIR73FL.DTA","Cambodia",2014
"Implant",0.0379292262126525,"KHIR73FL.DTA","Cambodia",2014
"Lactational Amenorrhea",0.00112489320562546,"KHIR73FL.DTA","Cambodia",2014
"Female Condom",0.0000385247825049576,"KHIR73FL.DTA","Cambodia",2014
"Other Modern Method",0.00104290387694533,"KHIR73FL.DTA","Cambodia",2014
"Chinese (Monthly) Pill",0.00308445469684272,"KHIR73FL.DTA","Cambodia",2014
"Pill",0.0667937139692357,"CMIR61FL.DTA","Cameroon",2011
"IUD",0.00697476929711403,"CMIR61FL.DTA","Cameroon",2011
"Injections",0.0981770092604824,"CMIR61FL.DTA","Cameroon",2011
"Male Condom",0.457067708208775,"CMIR61FL.DTA","Cameroon",2011
"Female Sterilization",0.0155570989984086,"CMIR61FL.DTA","Cameroon",2011
"Male Sterilization",0.0000867804260991751,"CMIR61FL.DTA","Cameroon",2011
"Periodic Abstinence",0.248274403825422,"CMIR61FL.DTA","Cameroon",2011
"Withdrawal",0.0528849489608143,"CMIR61FL.DTA","Cameroon",2011
"Other",0.0172717553510566,"CMIR61FL.DTA","Cameroon",2011
"Implant",0.0212581626061666,"CMIR61FL.DTA","Cameroon",2011
"Lactational Amenorrhea",0.0088226851347466,"CMIR61FL.DTA","Cameroon",2011
"Female Condom",0.00620076855102616,"CMIR61FL.DTA","Cameroon",2011
"Foam Or Jelly",0.000630195410652719,"CMIR61FL.DTA","Cameroon",2011
"Pill",0.0650905380017688,"TDIR71FL.DTA","Chad",2014
"IUD",0.00605815525646158,"TDIR71FL.DTA","Chad",2014
"Injections",0.333682832521488,"TDIR71FL.DTA","Chad",2014
"Male Condom",0.126477112440387,"TDIR71FL.DTA","Chad",2014
"Female Sterilization",0.0372213268137356,"TDIR71FL.DTA","Chad",2014
"Periodic Abstinence",0.078995017008377,"TDIR71FL.DTA","Chad",2014
"Withdrawal",0.0055600060657666,"TDIR71FL.DTA","Chad",2014
"Other",0.0108419417958252,"TDIR71FL.DTA","Chad",2014
"Implant",0.168110081208761,"TDIR71FL.DTA","Chad",2014
"Lactational Amenorrhea",0.164359567428219,"TDIR71FL.DTA","Chad",2014
"Other Modern Method",0.00360342145921095,"TDIR71FL.DTA","Chad",2014
"Pill",0.144342890868647,"KMIR61FL.DTA","Comoros",2012
"IUD",0.00279094221500871,"KMIR61FL.DTA","Comoros",2012
"Injections",0.274110130941268,"KMIR61FL.DTA","Comoros",2012
"Male Condom",0.140136397016271,"KMIR61FL.DTA","Comoros",2012
"Female Sterilization",0.0415403880940581,"KMIR61FL.DTA","Comoros",2012
"Periodic Abstinence",0.160954337795649,"KMIR61FL.DTA","Comoros",2012
"Withdrawal",0.113044156940903,"KMIR61FL.DTA","Comoros",2012
"Other",0.00466594022275635,"KMIR61FL.DTA","Comoros",2012
"Implant",0.0799512362571684,"KMIR61FL.DTA","Comoros",2012
"Lactational Amenorrhea",0.037184987804118,"KMIR61FL.DTA","Comoros",2012
"Female Condom",0.00127859184415299,"KMIR61FL.DTA","Comoros",2012
"Pill",0.0578017389008157,"CGIR60FL.DTA","Congo",2011
"IUD",0.000448436314917845,"CGIR60FL.DTA","Congo",2011
"Injections",0.0426506454147976,"CGIR60FL.DTA","Congo",2011
"Male Condom",0.348828287595972,"CGIR60FL.DTA","Congo",2011
"Female Sterilization",0.00209396786576486,"CGIR60FL.DTA","Congo",2011
"Periodic Abstinence",0.370657945135324,"CGIR60FL.DTA","Congo",2011
"Withdrawal",0.087617872438832,"CGIR60FL.DTA","Congo",2011
"Other",0.0390550554918074,"CGIR60FL.DTA","Congo",2011
"Implant",0.00213948990777525,"CGIR60FL.DTA","Congo",2011
"Female Condom",0.000906074716345376,"CGIR60FL.DTA","Congo",2011
"Foam Or Jelly",0.000495620719088223,"CGIR60FL.DTA","Congo",2011
"Other Modern Method",0.0473048654985601,"CGIR60FL.DTA","Congo",2011
"Pill",0.212309121282177,"DRIR61FL.DTA","Dominican Republic",2013
"IUD",0.0251617548692026,"DRIR61FL.DTA","Dominican Republic",2013
"Injections",0.0761110494418278,"DRIR61FL.DTA","Dominican Republic",2013
"Male Condom",0.0814694057365925,"DRIR61FL.DTA","Dominican Republic",2013
"Female Sterilization",0.541375281789074,"DRIR61FL.DTA","Dominican Republic",2013
"Male Sterilization",0.00227102987961932,"DRIR61FL.DTA","Dominican Republic",2013
"Periodic Abstinence",0.0174198397579337,"DRIR61FL.DTA","Dominican Republic",2013
"Withdrawal",0.0253853971957037,"DRIR61FL.DTA","Dominican Republic",2013
"Other",0.00264553308592455,"DRIR61FL.DTA","Dominican Republic",2013
"Implant",0.00616193731420233,"DRIR61FL.DTA","Dominican Republic",2013
"Lactational Amenorrhea",0.00361898074619874,"DRIR61FL.DTA","Dominican Republic",2013
"Other Modern Method",0.00607066890154388,"DRIR61FL.DTA","Dominican Republic",2013
"Pill",0.273734619889927,"EGIR61FL.DTA","Egypt",2014
"IUD",0.514127931274809,"EGIR61FL.DTA","Egypt",2014
"Diaphragm/Foam/Jelly",0.00142723379457268,"EGIR61FL.DTA","Egypt",2014
"Male Condom",0.00797465204887946,"EGIR61FL.DTA","Egypt",2014
"Female Sterilization",0.0207262686907542,"EGIR61FL.DTA","Egypt",2014
"Periodic Abstinence",0.00553142348578897,"EGIR61FL.DTA","Egypt",2014
"Withdrawal",0.00470310568492179,"EGIR61FL.DTA","Egypt",2014
"Other",0.0000338168255230717,"EGIR61FL.DTA","Egypt",2014
"Implant",0.0092951489928647,"EGIR61FL.DTA","Egypt",2014
"Injections",0.120491258924188,"EGIR61FL.DTA","Egypt",2014
"Injection 1 Months",0.0242010510726637,"EGIR61FL.DTA","Egypt",2014
"Prolonged Breastfeeding",0.0177534893151083,"EGIR61FL.DTA","Egypt",2014
"Pill",0.0514803308535339,"ETIR70FL.DTA","Ethiopia",2016
"IUD",0.0568944574712828,"ETIR70FL.DTA","Ethiopia",2016
"Injections",0.622590594460432,"ETIR70FL.DTA","Ethiopia",2016
"Male Condom",0.00415348886493473,"ETIR70FL.DTA","Ethiopia",2016
"Female Sterilization",0.0113681268341578,"ETIR70FL.DTA","Ethiopia",2016
"Periodic Abstinence",0.0152997860395791,"ETIR70FL.DTA","Ethiopia",2016
"Withdrawal",0.00354130660116505,"ETIR70FL.DTA","Ethiopia",2016
"Implant",0.226813420653813,"ETIR70FL.DTA","Ethiopia",2016
"Lactational Amenorrhea",0.00378877179573079,"ETIR70FL.DTA","Ethiopia",2016
"Emergency Contraception",0.00243120716183798,"ETIR70FL.DTA","Ethiopia",2016
"Standard Days Method",0.00163850926353232,"ETIR70FL.DTA","Ethiopia",2016
"Pill",0.0756420504978869,"ETIR61FL.DTA","Ethiopia",2011
"IUD",0.0113867560868112,"ETIR61FL.DTA","Ethiopia",2011
"Injections",0.716480182209513,"ETIR61FL.DTA","Ethiopia",2011
"Male Condom",0.0148184940099059,"ETIR61FL.DTA","Ethiopia",2011
"Female Sterilization",0.0180473308183814,"ETIR61FL.DTA","Ethiopia",2011
"Periodic Abstinence",0.0332403782924302,"ETIR61FL.DTA","Ethiopia",2011
"Withdrawal",0.00971669597916864,"ETIR61FL.DTA","Ethiopia",2011
"Other",0.00207377116900115,"ETIR61FL.DTA","Ethiopia",2011
"Implant",0.117677147963143,"ETIR61FL.DTA","Ethiopia",2011
"Lactational Amenorrhea",0.000698867563196786,"ETIR61FL.DTA","Ethiopia",2011
"Female Condom",0.000164237393556331,"ETIR61FL.DTA","Ethiopia",2011
"Standard Days Method",0.0000540880170061813,"ETIR61FL.DTA","Ethiopia",2011
"Pill",0.115692070921437,"GAIR60FL.DTA","Gabon",2012
"IUD",0.00327002070390497,"GAIR60FL.DTA","Gabon",2012
"Injections",0.00656407034362573,"GAIR60FL.DTA","Gabon",2012
"Male Condom",0.54997725018037,"GAIR60FL.DTA","Gabon",2012
"Female Sterilization",0.0109509999044626,"GAIR60FL.DTA","Gabon",2012
"Male Sterilization",0.000187033978532222,"GAIR60FL.DTA","Gabon",2012
"Periodic Abstinence",0.226246022231379,"GAIR60FL.DTA","Gabon",2012
"Withdrawal",0.0516451826756374,"GAIR60FL.DTA","Gabon",2012
"Other",0.00944364168425533,"GAIR60FL.DTA","Gabon",2012
"Implant",0.000563518395267626,"GAIR60FL.DTA","Gabon",2012
"Female Condom",0.00219010911635635,"GAIR60FL.DTA","Gabon",2012
"Other Modern Method",0.0232700798647729,"GAIR60FL.DTA","Gabon",2012
"Pill",0.0970736363378235,"GMIR81FL.DTA","Gambia",2019
"IUD",0.0305105586483874,"GMIR81FL.DTA","Gambia",2019
"Injections",0.416063897151784,"GMIR81FL.DTA","Gambia",2019
"Male Condom",0.0250735055800352,"GMIR81FL.DTA","Gambia",2019
"Female Sterilization",0.0267699652859715,"GMIR81FL.DTA","Gambia",2019
"Male Sterilization",0.00119296132619027,"GMIR81FL.DTA","Gambia",2019
"Periodic Abstinence",0.00633075157567824,"GMIR81FL.DTA","Gambia",2019
"Withdrawal",0.0344288047856406,"GMIR81FL.DTA","Gambia",2019
"Other Traditional Method",0.0478957352650052,"GMIR81FL.DTA","Gambia",2019
"Implant",0.306657854752058,"GMIR81FL.DTA","Gambia",2019
"Lactational Amenorrhea",0.0047036608510965,"GMIR81FL.DTA","Gambia",2019
"Female Condom",0.000262386700735082,"GMIR81FL.DTA","Gambia",2019
"Standard Days Method",0.00303628173959453,"GMIR81FL.DTA","Gambia",2019
"Pill",0.216256406039511,"GMIR60FL.DTA","Gambia",2013
"IUD",0.0393115958390335,"GMIR60FL.DTA","Gambia",2013
"Injections",0.427609496171616,"GMIR60FL.DTA","Gambia",2013
"Male Condom",0.107617995211925,"GMIR60FL.DTA","Gambia",2013
"Female Sterilization",0.0570138879445397,"GMIR60FL.DTA","Gambia",2013
"Periodic Abstinence",0.0151467647644201,"GMIR60FL.DTA","Gambia",2013
"Withdrawal",0.0288242096578616,"GMIR60FL.DTA","Gambia",2013
"Other",0.0426784147849727,"GMIR60FL.DTA","Gambia",2013
"Implant",0.064972617620821,"GMIR60FL.DTA","Gambia",2013
"Lactational Amenorrhea",0.000216951280212864,"GMIR60FL.DTA","Gambia",2013
"Female Condom",0.000221866810884825,"GMIR60FL.DTA","Gambia",2013
"Other Modern Method",0.000129793874202312,"GMIR60FL.DTA","Gambia",2013
"Pill",0.171902108392545,"GHIR72FL.DTA","Ghana",2014
"IUD",0.0234995090947947,"GHIR72FL.DTA","Ghana",2014
"Injections",0.264490815784816,"GHIR72FL.DTA","Ghana",2014
"Diaphragm",0.000763603150762985,"GHIR72FL.DTA","Ghana",2014
"Male Condom",0.0896352500262649,"GHIR72FL.DTA","Ghana",2014
"Female Sterilization",0.0567320704700359,"GHIR72FL.DTA","Ghana",2014
"Periodic Abstinence",0.134958275116581,"GHIR72FL.DTA","Ghana",2014
"Withdrawal",0.0602177202694409,"GHIR72FL.DTA","Ghana",2014
"Other",0.00842000424062672,"GHIR72FL.DTA","Ghana",2014
"Implant",0.164380373237055,"GHIR72FL.DTA","Ghana",2014
"Lactational Amenorrhea",0.00483318875146779,"GHIR72FL.DTA","Ghana",2014
"Female Condom",0.00202657464545659,"GHIR72FL.DTA","Ghana",2014
"Foam Or Jelly",0.000884240615635075,"GHIR72FL.DTA","Ghana",2014
"Other Modern Method",0.0172562662045172,"GHIR72FL.DTA","Ghana",2014
"Pill",0.0549328486229961,"GUIR71FL.DTA","Guatemala",2014
"IUD",0.0260770351000186,"GUIR71FL.DTA","Guatemala",2014
"Injections",0.261928898349551,"GUIR71FL.DTA","Guatemala",2014
"Male Condom",0.0759167144759293,"GUIR71FL.DTA","Guatemala",2014
"Female Sterilization",0.35473300573185,"GUIR71FL.DTA","Guatemala",2014
"Male Sterilization",0.00915622347475793,"GUIR71FL.DTA","Guatemala",2014
"Periodic Abstinence",0.0888124792764907,"GUIR71FL.DTA","Guatemala",2014
"Withdrawal",0.0929180071819158,"GUIR71FL.DTA","Guatemala",2014
"Other",0.000759553346109077,"GUIR71FL.DTA","Guatemala",2014
"Implant",0.0308232990275031,"GUIR71FL.DTA","Guatemala",2014
"Lactational Amenorrhea",0.00178991954941094,"GUIR71FL.DTA","Guatemala",2014
"Other Modern Method",0.0002632821389678,"GUIR71FL.DTA","Guatemala",2014
"Standard Days Method",0.00167639892484964,"GUIR71FL.DTA","Guatemala",2014
"Diaphragm/Foam/Jelly",0.000212334799650247,"GUIR71FL.DTA","Guatemala",2014
"Pill",0.160258497882273,"GNIR71FL.DTA","Guinea",2018
"IUD",0.0438181431791297,"GNIR71FL.DTA","Guinea",2018
"Injections",0.176931993443717,"GNIR71FL.DTA","Guinea",2018
"Male Condom",0.122778754670981,"GNIR71FL.DTA","Guinea",2018
"Female Sterilization",0.0100199453009539,"GNIR71FL.DTA","Guinea",2018
"Male Sterilization",0.00778092649764414,"GNIR71FL.DTA","Guinea",2018
"Periodic Abstinence",0.00743243811497138,"GNIR71FL.DTA","Guinea",2018
"Withdrawal",0.0113152033881237,"GNIR71FL.DTA","Guinea",2018
"Other Traditional Method",0.00972664672109992,"GNIR71FL.DTA","Guinea",2018
"Implant",0.185020012649446,"GNIR71FL.DTA","Guinea",2018
"Lactational Amenorrhea",0.234966824070139,"GNIR71FL.DTA","Guinea",2018
"Emergency Contraception",0.00199243576444254,"GNIR71FL.DTA","Guinea",2018
"Other Modern Method",0.000558560955641319,"GNIR71FL.DTA","Guinea",2018
"Standard Days Method",0.0273996173614366,"GNIR71FL.DTA","Guinea",2018
"Pill",0.187634748034619,"GNIR62FL.DTA","Guinea",2012
"IUD",0.0202928359882537,"GNIR62FL.DTA","Guinea",2012
"Injections",0.186230703794923,"GNIR62FL.DTA","Guinea",2012
"Male Condom",0.279297979784276,"GNIR62FL.DTA","Guinea",2012
"Female Sterilization",0.00688580164128751,"GNIR62FL.DTA","Guinea",2012
"Male Sterilization",0.00114706215532972,"GNIR62FL.DTA","Guinea",2012
"Periodic Abstinence",0.088416235027867,"GNIR62FL.DTA","Guinea",2012
"Withdrawal",0.0402529276388243,"GNIR62FL.DTA","Guinea",2012
"Other",0.0435951048164091,"GNIR62FL.DTA","Guinea",2012
"Implant",0.0113554104876581,"GNIR62FL.DTA","Guinea",2012
"Lactational Amenorrhea",0.128878050187682,"GNIR62FL.DTA","Guinea",2012
"Female Condom",0.0011724809207412,"GNIR62FL.DTA","Guinea",2012
"Other Modern Method",0.00484065952212935,"GNIR62FL.DTA","Guinea",2012
"Pill",0.151782076774028,"HNIR62FL.DTA","Honduras",2011
"IUD",0.0945065381188588,"HNIR62FL.DTA","Honduras",2011
"Injections",0.229452053787016,"HNIR62FL.DTA","Honduras",2011
"Male Condom",0.0742113127760957,"HNIR62FL.DTA","Honduras",2011
"Female Sterilization",0.324564780440975,"HNIR62FL.DTA","Honduras",2011
"Male Sterilization",0.00358456160834893,"HNIR62FL.DTA","Honduras",2011
"Periodic Abstinence",0.0367304267213709,"HNIR62FL.DTA","Honduras",2011
"Withdrawal",0.0824261253475523,"HNIR62FL.DTA","Honduras",2011
"Other",0.00152592034902002,"HNIR62FL.DTA","Honduras",2011
"Implant",0.0000745553505092645,"HNIR62FL.DTA","Honduras",2011
"Lactational Amenorrhea",0.000289106774976251,"HNIR62FL.DTA","Honduras",2011
"Female Condom",0.000030463695114307,"HNIR62FL.DTA","Honduras",2011
"Standard Days Method",0.00082207825613427,"HNIR62FL.DTA","Honduras",2011
"Pill",0.0735649802702524,"IAIR7DFL.DTA","India",2019
"IUD",0.030602374961815,"IAIR7DFL.DTA","India",2019
"Injections",0.00817613228118417,"IAIR7DFL.DTA","India",2019
"Diaphragm",0.0000995501821186026,"IAIR7DFL.DTA","India",2019
"Male Condom",0.140169377051449,"IAIR7DFL.DTA","India",2019
"Female Sterilization",0.579543782702276,"IAIR7DFL.DTA","India",2019
"Male Sterilization",0.00449219314811494,"IAIR7DFL.DTA","India",2019
