"Group","Freq","N","SurveyName","Country","StartYear"
"Married, Does Not Want Child within 2 Years",0.38161390389591,4241,"BJIR71FL.DTA","Benin",2017
"Married, Wants Child within 2 Years",0.131154375219074,1434,"BJIR71FL.DTA","Benin",2017
"Not Married, Not Sexually Active",0.251300021325854,2732,"BJIR71FL.DTA","Benin",2017
"Not Married, Sexually Active",0.0584872215624357,631,"BJIR71FL.DTA","Benin",2017
"Infecund, Menopausal",0.190165184823084,2533,"BFIR62FL.DTA","Burkina Faso",2010
"Married, Does Not Want Child within 2 Years",0.507819914607535,6396,"BFIR62FL.DTA","Burkina Faso",2010
"Married, Wants Child within 2 Years",0.119535591653671,1544,"BFIR62FL.DTA","Burkina Faso",2010
"Not Married, Not Sexually Active",0.164892039895294,2223,"BFIR62FL.DTA","Burkina Faso",2010
"Not Married, Sexually Active",0.0175872690204161,252,"BFIR62FL.DTA","Burkina Faso",2010
"Infecund, Menopausal",0.203921354624246,1836,"BFIR81FL.DTA","Burkina Faso",2021
"Married, Does Not Want Child within 2 Years",0.266682713910364,2342,"BFIR81FL.DTA","Burkina Faso",2021
"Married, Wants Child within 2 Years",0.180504685242946,1562,"BFIR81FL.DTA","Burkina Faso",2021
"Not Married, Not Sexually Active",0.320425051922001,2806,"BFIR81FL.DTA","Burkina Faso",2021
"Not Married, Sexually Active",0.0284661943004428,275,"BFIR81FL.DTA","Burkina Faso",2021
"Infecund, Menopausal",0.168121136020653,1224,"BUIR61FL.DTA","Burundi",2010
"Married, Does Not Want Child within 2 Years",0.365397099414042,2580,"BUIR61FL.DTA","Burundi",2010
"Married, Wants Child within 2 Years",0.0515070315349274,374,"BUIR61FL.DTA","Burundi",2010
"Not Married, Not Sexually Active",0.387038494493302,3049,"BUIR61FL.DTA","Burundi",2010
"Not Married, Sexually Active",0.0279362385370751,205,"BUIR61FL.DTA","Burundi",2010
"Infecund, Menopausal",0.134154698992487,1499,"BUIR70FL.DTA","Burundi",2016
"Married, Does Not Want Child within 2 Years",0.278741202172657,3125,"BUIR70FL.DTA","Burundi",2016
"Married, Wants Child within 2 Years",0.0450018922359678,505,"BUIR70FL.DTA","Burundi",2016
"Not Married, Not Sexually Active",0.512278434424092,5984,"BUIR70FL.DTA","Burundi",2016
"Not Married, Sexually Active",0.0298237721747963,321,"BUIR70FL.DTA","Burundi",2016
"Infecund, Menopausal",0.211627817711189,1761,"KHIR73FL.DTA","Cambodia",2014
"Married, Does Not Want Child within 2 Years",0.163327825128108,1384,"KHIR73FL.DTA","Cambodia",2014
"Married, Wants Child within 2 Years",0.0490208921808699,399,"KHIR73FL.DTA","Cambodia",2014
"Not Married, Not Sexually Active",0.571563017556845,4938,"KHIR73FL.DTA","Cambodia",2014
"Not Married, Sexually Active",0.00446044742298912,37,"KHIR73FL.DTA","Cambodia",2014
"Infecund, Menopausal",0.207529829158052,1865,"KHIR81FL.DTA","Cambodia",2021
"Married, Does Not Want Child within 2 Years",0.140620130287071,1327,"KHIR81FL.DTA","Cambodia",2021
"Married, Wants Child within 2 Years",0.0583334591280765,502,"KHIR81FL.DTA","Cambodia",2021
"Not Married, Not Sexually Active",0.588150654568906,5002,"KHIR81FL.DTA","Cambodia",2021
"Not Married, Sexually Active",0.00536592685789398,56,"KHIR81FL.DTA","Cambodia",2021
"Infecund, Menopausal",0.201613155497546,1849,"CMIR61FL.DTA","Cameroon",2011
"Married, Does Not Want Child within 2 Years",0.334761909232037,2857,"CMIR61FL.DTA","Cameroon",2011
"Married, Wants Child within 2 Years",0.132959399482343,1096,"CMIR61FL.DTA","Cameroon",2011
"Not Married, Not Sexually Active",0.284614560286548,2413,"CMIR61FL.DTA","Cameroon",2011
"Not Married, Sexually Active",0.0460509755015261,456,"CMIR61FL.DTA","Cameroon",2011
"Infecund, Menopausal",0.188353550124527,1640,"CMIR71FL.DTA","Cameroon",2018
"Married, Does Not Want Child within 2 Years",0.252939219817536,2079,"CMIR71FL.DTA","Cameroon",2018
"Married, Wants Child within 2 Years",0.155583960532924,1207,"CMIR71FL.DTA","Cameroon",2018
"Not Married, Not Sexually Active",0.330521006324277,2941,"CMIR71FL.DTA","Cameroon",2018
"Not Married, Sexually Active",0.0726022632007356,721,"CMIR71FL.DTA","Cameroon",2018
"Infecund, Menopausal",0.18200831201569,3003,"TDIR71FL.DTA","Chad",2014
"Married, Does Not Want Child within 2 Years",0.453477793015778,7527,"TDIR71FL.DTA","Chad",2014
"Married, Wants Child within 2 Years",0.148317441226984,2574,"TDIR71FL.DTA","Chad",2014
"Not Married, Not Sexually Active",0.184608211384962,2918,"TDIR71FL.DTA","Chad",2014
"Not Married, Sexually Active",0.0315882423565864,462,"TDIR71FL.DTA","Chad",2014
"Infecund, Menopausal",0.184086318351476,798,"KMIR61FL.DTA","Comoros",2012
"Married, Does Not Want Child within 2 Years",0.277171540219051,1138,"KMIR61FL.DTA","Comoros",2012
"Married, Wants Child within 2 Years",0.0939285450061342,384,"KMIR61FL.DTA","Comoros",2012
"Not Married, Not Sexually Active",0.434575556527449,1750,"KMIR61FL.DTA","Comoros",2012
"Not Married, Sexually Active",0.0102380398958898,56,"KMIR61FL.DTA","Comoros",2012
"Infecund, Menopausal",0.253767447889122,887,"CGIR60FL.DTA","Congo",2011
"Married, Does Not Want Child within 2 Years",0.305512859436899,1097,"CGIR60FL.DTA","Congo",2011
"Married, Wants Child within 2 Years",0.0481218116013176,149,"CGIR60FL.DTA","Congo",2011
"Not Married, Not Sexually Active",0.291730831648387,821,"CGIR60FL.DTA","Congo",2011
"Not Married, Sexually Active",0.100867049424274,363,"CGIR60FL.DTA","Congo",2011
"Infecund, Menopausal",0.169145614908725,2325,"CDIR61FL.DTA","Congo Democratic Republic",2013
"Married, Does Not Want Child within 2 Years",0.393033077605101,5473,"CDIR61FL.DTA","Congo Democratic Republic",2013
"Married, Wants Child within 2 Years",0.0966588242109868,1299,"CDIR61FL.DTA","Congo Democratic Republic",2013
"Not Married, Not Sexually Active",0.261867565833471,3021,"CDIR61FL.DTA","Congo Democratic Republic",2013
"Not Married, Sexually Active",0.0792949174417163,1035,"CDIR61FL.DTA","Congo Democratic Republic",2013
"Infecund, Menopausal",0.173200225756547,1157,"CIIR62FL.DTA","Cote d'Ivoire",2011
"Married, Does Not Want Child within 2 Years",0.368617570022977,2419,"CIIR62FL.DTA","Cote d'Ivoire",2011
"Married, Wants Child within 2 Years",0.108373044134192,781,"CIIR62FL.DTA","Cote d'Ivoire",2011
"Not Married, Not Sexually Active",0.238414155026749,1448,"CIIR62FL.DTA","Cote d'Ivoire",2011
"Not Married, Sexually Active",0.111395005059534,680,"CIIR62FL.DTA","Cote d'Ivoire",2011
"Infecund, Menopausal",0.199207805804343,1951,"CIIR81FL.DTA","Cote d'Ivoire",2021
"Married, Does Not Want Child within 2 Years",0.247948300898893,2601,"CIIR81FL.DTA","Cote d'Ivoire",2021
"Married, Wants Child within 2 Years",0.190641187400828,1986,"CIIR81FL.DTA","Cote d'Ivoire",2021
"Not Married, Not Sexually Active",0.280423353691781,2436,"CIIR81FL.DTA","Cote d'Ivoire",2021
"Not Married, Sexually Active",0.0817793522041552,785,"CIIR81FL.DTA","Cote d'Ivoire",2021
"Infecund, Menopausal",0.134574580757552,274,"DRIR61FL.DTA","Dominican Republic",2013
"Married, Does Not Want Child within 2 Years",0.0653071755034076,176,"DRIR61FL.DTA","Dominican Republic",2013
"Married, Wants Child within 2 Years",0.036579872986123,79,"DRIR61FL.DTA","Dominican Republic",2013
"Not Married, Not Sexually Active",0.715491385826735,1579,"DRIR61FL.DTA","Dominican Republic",2013
"Not Married, Sexually Active",0.0480469849261821,120,"DRIR61FL.DTA","Dominican Republic",2013
"Infecund, Menopausal",0.236841382526441,1065,"EGIR61FL.DTA","Egypt",2014
"Married, Does Not Want Child within 2 Years",0.38588009116424,1728,"EGIR61FL.DTA","Egypt",2014
"Married, Wants Child within 2 Years",0.255681122139061,1159,"EGIR61FL.DTA","Egypt",2014
"Not Married, Not Sexually Active",0.11924956490798,517,"EGIR61FL.DTA","Egypt",2014
"Not Married, Sexually Active",0.00234783926227821,10,"EGIR61FL.DTA","Egypt",2014
"Infecund, Menopausal",0.263164905988854,2890,"ETIR61FL.DTA","Ethiopia",2011
"Married, Does Not Want Child within 2 Years",0.325712378276122,3580,"ETIR61FL.DTA","Ethiopia",2011
"Married, Wants Child within 2 Years",0.0539840505981603,1042,"ETIR61FL.DTA","Ethiopia",2011
"Not Married, Not Sexually Active",0.341560013003378,3761,"ETIR61FL.DTA","Ethiopia",2011
"Not Married, Sexually Active",0.0155786521334855,183,"ETIR61FL.DTA","Ethiopia",2011
"Infecund, Menopausal",0.180272504840025,1726,"ETIR70FL.DTA","Ethiopia",2016
"Married, Does Not Want Child within 2 Years",0.293987817512305,2496,"ETIR70FL.DTA","Ethiopia",2016
"Married, Wants Child within 2 Years",0.0692516840367393,1253,"ETIR70FL.DTA","Ethiopia",2016
"Not Married, Not Sexually Active",0.441808777016393,4204,"ETIR70FL.DTA","Ethiopia",2016
"Not Married, Sexually Active",0.0146792165945381,119,"ETIR70FL.DTA","Ethiopia",2016
"Infecund, Menopausal",0.246272515453517,1124,"GAIR60FL.DTA","Gabon",2012
"Married, Does Not Want Child within 2 Years",0.268057771091821,1210,"GAIR60FL.DTA","Gabon",2012
"Married, Wants Child within 2 Years",0.0716975460048751,281,"GAIR60FL.DTA","Gabon",2012
"Not Married, Not Sexually Active",0.27781315337621,1020,"GAIR60FL.DTA","Gabon",2012
"Not Married, Sexually Active",0.136159014073576,598,"GAIR60FL.DTA","Gabon",2012
"Infecund, Menopausal",0.127237089596725,1138,"GMIR60FL.DTA","Gambia",2013
"Married, Does Not Want Child within 2 Years",0.366692777182841,3315,"GMIR60FL.DTA","Gambia",2013
"Married, Wants Child within 2 Years",0.143626865851275,1295,"GMIR60FL.DTA","Gambia",2013
"Not Married, Not Sexually Active",0.347852459724434,2862,"GMIR60FL.DTA","Gambia",2013
"Not Married, Sexually Active",0.0145908076447251,136,"GMIR60FL.DTA","Gambia",2013
"Infecund, Menopausal",0.147274466192778,1245,"GMIR81FL.DTA","Gambia",2019
"Married, Does Not Want Child within 2 Years",0.256327373014244,2430,"GMIR81FL.DTA","Gambia",2019
"Married, Wants Child within 2 Years",0.136642185766728,1297,"GMIR81FL.DTA","Gambia",2019
"Not Married, Not Sexually Active",0.447168720096633,3145,"GMIR81FL.DTA","Gambia",2019
"Not Married, Sexually Active",0.012587254929616,90,"GMIR81FL.DTA","Gambia",2019
"Infecund, Menopausal",0.196468255706412,1022,"GHIR72FL.DTA","Ghana",2014
"Married, Does Not Want Child within 2 Years",0.260936515968062,1487,"GHIR72FL.DTA","Ghana",2014
"Married, Wants Child within 2 Years",0.0600573116932603,347,"GHIR72FL.DTA","Ghana",2014
"Not Married, Not Sexually Active",0.41247933335558,2174,"GHIR72FL.DTA","Ghana",2014
"Not Married, Sexually Active",0.0700585832766851,352,"GHIR72FL.DTA","Ghana",2014
"Infecund, Menopausal",0.128165807420886,1517,"GUIR71FL.DTA","Guatemala",2014
"Married, Does Not Want Child within 2 Years",0.147624549430769,1713,"GUIR71FL.DTA","Guatemala",2014
"Married, Wants Child within 2 Years",0.0280398772510037,317,"GUIR71FL.DTA","Guatemala",2014
"Not Married, Not Sexually Active",0.667586246108257,7884,"GUIR71FL.DTA","Guatemala",2014
"Not Married, Sexually Active",0.0285835197890836,311,"GUIR71FL.DTA","Guatemala",2014
"Infecund, Menopausal",0.202067516044974,1578,"GNIR62FL.DTA","Guinea",2012
"Married, Does Not Want Child within 2 Years",0.392063160540576,3043,"GNIR62FL.DTA","Guinea",2012
"Married, Wants Child within 2 Years",0.169734359889531,1334,"GNIR62FL.DTA","Guinea",2012
"Not Married, Not Sexually Active",0.199764221044938,1538,"GNIR62FL.DTA","Guinea",2012
"Not Married, Sexually Active",0.0363707424799819,254,"GNIR62FL.DTA","Guinea",2012
"Infecund, Menopausal",0.234016542801727,2111,"GNIR71FL.DTA","Guinea",2018
"Married, Does Not Want Child within 2 Years",0.279393807516423,2501,"GNIR71FL.DTA","Guinea",2018
"Married, Wants Child within 2 Years",0.214159549789923,1844,"GNIR71FL.DTA","Guinea",2018
"Not Married, Not Sexually Active",0.244562374984372,2045,"GNIR71FL.DTA","Guinea",2018
"Not Married, Sexually Active",0.0278677249075559,235,"GNIR71FL.DTA","Guinea",2018
"Infecund, Menopausal",0.0735411615570544,522,"HNIR62FL.DTA","Honduras",2011
"Married, Does Not Want Child within 2 Years",0.0628959105391011,476,"HNIR62FL.DTA","Honduras",2011
"Married, Wants Child within 2 Years",0.0181276205969387,127,"HNIR62FL.DTA","Honduras",2011
"Not Married, Not Sexually Active",0.838305974182436,5238,"HNIR62FL.DTA","Honduras",2011
"Not Married, Sexually Active",0.00712933312446997,45,"HNIR62FL.DTA","Honduras",2011
"Infecund, Menopausal",0.251893565194409,89919,"IAIR73FL.DTA","India",2015
"Married, Does Not Want Child within 2 Years",0.19272572820465,72636,"IAIR73FL.DTA","India",2015
"Married, Wants Child within 2 Years",0.0894497087368696,30169,"IAIR73FL.DTA","India",2015
"Not Married, Not Sexually Active",0.465022704176109,176252,"IAIR73FL.DTA","India",2015
"Not Married, Sexually Active",0.000908293687962508,516,"IAIR73FL.DTA","India",2015
"Infecund, Menopausal",0.176245719437234,50270,"IAIR7DFL.DTA","India",2019
"Married, Does Not Want Child within 2 Years",0.133516826517168,38640,"IAIR7DFL.DTA","India",2019
"Married, Wants Child within 2 Years",0.0790969663046938,21486,"IAIR7DFL.DTA","India",2019
"Not Married, Not Sexually Active",0.610463845230771,181020,"IAIR7DFL.DTA","India",2019
"Not Married, Sexually Active",0.000676642510133784,349,"IAIR7DFL.DTA","India",2019
"Infecund, Menopausal",0.162784560282659,2756,"IDIR63FL.DTA","Indonesia",2012
"Married, Does Not Want Child within 2 Years",0.110395030137467,2102,"IDIR63FL.DTA","Indonesia",2012
"Married, Wants Child within 2 Years",0.0664421393960102,1159,"IDIR63FL.DTA","Indonesia",2012
"Not Married, Not Sexually Active",0.657852389066792,11128,"IDIR63FL.DTA","Indonesia",2012
"Not Married, Sexually Active",0.00252588111707131,69,"IDIR63FL.DTA","Indonesia",2012
"Infecund, Menopausal",0.139277416087283,2621,"IDIR71FL.DTA","Indonesia",2017
"Married, Does Not Want Child within 2 Years",0.0833477484740579,1673,"IDIR71FL.DTA","Indonesia",2017
"Married, Wants Child within 2 Years",0.0637526144268818,1174,"IDIR71FL.DTA","Indonesia",2017
"Not Married, Not Sexually Active",0.711091298581677,13095,"IDIR71FL.DTA","Indonesia",2017
"Not Married, Sexually Active",0.00253092243009987,71,"IDIR71FL.DTA","Indonesia",2017
"Infecund, Menopausal",0.303964198509557,642,"JOIR6CFL.DTA","Jordan",2012
"Married, Does Not Want Child within 2 Years",0.26168735707905,558,"JOIR6CFL.DTA","Jordan",2012
"Married, Wants Child within 2 Years",0.289925132834895,613,"JOIR6CFL.DTA","Jordan",2012
"Not Married, Not Sexually Active",0.141735500757268,327,"JOIR6CFL.DTA","Jordan",2012
"Not Married, Sexually Active",0.00268781081923088,5,"JOIR6CFL.DTA","Jordan",2012
"Infecund, Menopausal",0.34029582023135,1506,"JOIR72FL.DTA","Jordan",2017
"Married, Does Not Want Child within 2 Years",0.308763128382698,1450,"JOIR72FL.DTA","Jordan",2017
"Married, Wants Child within 2 Years",0.198782797755618,1119,"JOIR72FL.DTA","Jordan",2017
"Not Married, Sexually Active",0.152158253630335,649,"JOIR72FL.DTA","Jordan",2017
"Infecund, Menopausal",0.0782796139575521,905,"KEIR72FL.DTA","Kenya",2014
"Married, Does Not Want Child within 2 Years",0.115903520626679,1514,"KEIR72FL.DTA","Kenya",2014
"Married, Wants Child within 2 Years",0.0266553191181678,424,"KEIR72FL.DTA","Kenya",2014
"Not Married, Not Sexually Active",0.316573098804932,3024,"KEIR72FL.DTA","Kenya",2014
"Not Married, Sexually Active",0.46258844749267,4379,"KEIR72FL.DTA","Kenya",2014
"Infecund, Menopausal",0.0634014663754183,778,"KEIR8BFL.DTA","Kenya",2022
"Married, Does Not Want Child within 2 Years",0.0691489786839846,1080,"KEIR8BFL.DTA","Kenya",2022
"Married, Wants Child within 2 Years",0.0302943895128031,599,"KEIR8BFL.DTA","Kenya",2022
"Not Married, Not Sexually Active",0.390136406296009,3657,"KEIR8BFL.DTA","Kenya",2022
"Not Married, Sexually Active",0.447018759131785,4051,"KEIR8BFL.DTA","Kenya",2022
"Infecund, Menopausal",0.184637049202475,950,"KYIR61FL.DTA","Kyrgyz Republic",2012
"Married, Does Not Want Child within 2 Years",0.239706256944685,1303,"KYIR61FL.DTA","Kyrgyz Republic",2012
"Married, Wants Child within 2 Years",0.0842498217800575,432,"KYIR61FL.DTA","Kyrgyz Republic",2012
"Not Married, Not Sexually Active",0.48112973935112,2322,"KYIR61FL.DTA","Kyrgyz Republic",2012
"Not Married, Sexually Active",0.0102771327216625,39,"KYIR61FL.DTA","Kyrgyz Republic",2012
"Infecund, Menopausal",0.160461775104928,321,"LSIR71FL.DTA","Lesotho",2014
"Married, Does Not Want Child within 2 Years",0.150917276546997,302,"LSIR71FL.DTA","Lesotho",2014
"Married, Wants Child within 2 Years",0.048478559253736,103,"LSIR71FL.DTA","Lesotho",2014
"Not Married, Not Sexually Active",0.600226035860843,1196,"LSIR71FL.DTA","Lesotho",2014
"Not Married, Sexually Active",0.0399163532334962,93,"LSIR71FL.DTA","Lesotho",2014
"Infecund, Menopausal",0.224702617487491,1362,"LBIR6AFL.DTA","Liberia",2013
"Married, Does Not Want Child within 2 Years",0.327915842669673,2263,"LBIR6AFL.DTA","Liberia",2013
"Married, Wants Child within 2 Years",0.0608824239041196,417,"LBIR6AFL.DTA","Liberia",2013
"Not Married, Not Sexually Active",0.212769441200684,1084,"LBIR6AFL.DTA","Liberia",2013
"Not Married, Sexually Active",0.173729674738033,927,"LBIR6AFL.DTA","Liberia",2013
"Infecund, Menopausal",0.212993177120499,817,"LBIR7AFL.DTA","Liberia",2019
"Married, Does Not Want Child within 2 Years",0.241635158552902,920,"LBIR7AFL.DTA","Liberia",2019
"Married, Wants Child within 2 Years",0.080419572014722,269,"LBIR7AFL.DTA","Liberia",2019
"Not Married, Not Sexually Active",0.30415200833695,908,"LBIR7AFL.DTA","Liberia",2019
"Not Married, Sexually Active",0.160800083974927,536,"LBIR7AFL.DTA","Liberia",2019
"Infecund, Menopausal",0.173598017720121,1222,"MDIR81FL.DTA","Madagascar",2021
"Married, Does Not Want Child within 2 Years",0.219429709964957,1613,"MDIR81FL.DTA","Madagascar",2021
"Married, Wants Child within 2 Years",0.0597598869241972,452,"MDIR81FL.DTA","Madagascar",2021
"Not Married, Not Sexually Active",0.43859304252927,2978,"MDIR81FL.DTA","Madagascar",2021
"Not Married, Sexually Active",0.108619342861455,811,"MDIR81FL.DTA","Madagascar",2021
"Infecund, Menopausal",0.151065043260083,1125,"MWIR7AFL.DTA","Malawi",2015
"Married, Does Not Want Child within 2 Years",0.205195039803181,1524,"MWIR7AFL.DTA","Malawi",2015
"Married, Wants Child within 2 Years",0.0520352511531404,370,"MWIR7AFL.DTA","Malawi",2015
"Not Married, Not Sexually Active",0.521499909311962,4167,"MWIR7AFL.DTA","Malawi",2015
"Not Married, Sexually Active",0.0702047564716336,496,"MWIR7AFL.DTA","Malawi",2015
"Infecund, Menopausal",0.304760164320625,1738,"MVIR71FL.DTA","Maldives",2016
"Married, Does Not Want Child within 2 Years",0.239885407815565,1502,"MVIR71FL.DTA","Maldives",2016
"Married, Wants Child within 2 Years",0.082419430473038,452,"MVIR71FL.DTA","Maldives",2016
"Not Married, Not Sexually Active",0.358663338626551,1708,"MVIR71FL.DTA","Maldives",2016
"Not Married, Sexually Active",0.0142716587642211,75,"MVIR71FL.DTA","Maldives",2016
"Infecund, Menopausal",0.197238569693013,1609,"MLIR6AFL.DTA","Mali",2012
"Married, Does Not Want Child within 2 Years",0.407851942421593,3335,"MLIR6AFL.DTA","Mali",2012
"Married, Wants Child within 2 Years",0.243831929668073,2013,"MLIR6AFL.DTA","Mali",2012
"Not Married, Not Sexually Active",0.130308517103847,1146,"MLIR6AFL.DTA","Mali",2012
"Not Married, Sexually Active",0.0207690411134741,160,"MLIR6AFL.DTA","Mali",2012
"Infecund, Menopausal",0.198874967679812,1616,"MLIR7HFL.DTA","Mali",2018
"Married, Does Not Want Child within 2 Years",0.378629431613292,2572,"MLIR7HFL.DTA","Mali",2018
"Married, Wants Child within 2 Years",0.222217034854427,1820,"MLIR7HFL.DTA","Mali",2018
"Not Married, Not Sexually Active",0.172885210961221,1464,"MLIR7HFL.DTA","Mali",2018
"Not Married, Sexually Active",0.0273933548912485,194,"MLIR7HFL.DTA","Mali",2018
"Infecund, Menopausal",0.141266183567936,1802,"MRIR71FL.DTA","Mauritania",2019
"Married, Does Not Want Child within 2 Years",0.270627094700539,3234,"MRIR71FL.DTA","Mauritania",2019
"Married, Wants Child within 2 Years",0.140390408644999,1691,"MRIR71FL.DTA","Mauritania",2019
"Not Married, Not Sexually Active",0.433807463445976,5453,"MRIR71FL.DTA","Mauritania",2019
"Not Married, Sexually Active",0.0139088496405498,175,"MRIR71FL.DTA","Mauritania",2019
"Infecund, Menopausal",0.208688684706314,1895,"MZIR62FL.DTA","Mozambique",2011
"Married, Does Not Want Child within 2 Years",0.322001327833902,2943,"MZIR62FL.DTA","Mozambique",2011
"Married, Wants Child within 2 Years",0.191961745246985,1669,"MZIR62FL.DTA","Mozambique",2011
"Not Married, Not Sexually Active",0.178022081264902,1836,"MZIR62FL.DTA","Mozambique",2011
"Not Married, Sexually Active",0.099326160947897,993,"MZIR62FL.DTA","Mozambique",2011
"Infecund, Menopausal",0.151022029936141,847,"NPIR60FL.DTA","Nepal",2011
"Married, Does Not Want Child within 2 Years",0.300186430087905,1536,"NPIR60FL.DTA","Nepal",2011
"Married, Wants Child within 2 Years",0.0700762327494243,330,"NPIR60FL.DTA","Nepal",2011
"Not Married, Not Sexually Active",0.47738870015791,2766,"NPIR60FL.DTA","Nepal",2011
"Not Married, Sexually Active",0.00132660706861957,8,"NPIR60FL.DTA","Nepal",2011
"Infecund, Menopausal",0.148824977578901,748,"NPIR7HFL.DTA","Nepal",2016
"Married, Does Not Want Child within 2 Years",0.235767220906609,1229,"NPIR7HFL.DTA","Nepal",2016
"Married, Wants Child within 2 Years",0.0912518513616817,432,"NPIR7HFL.DTA","Nepal",2016
"Not Married, Not Sexually Active",0.524006431007339,2654,"NPIR7HFL.DTA","Nepal",2016
"Not Married, Sexually Active",0.000149519145468126,1,"NPIR7HFL.DTA","Nepal",2016
"Infecund, Menopausal",0.129026531014836,659,"NPIR81FL.DTA","Nepal",2022
"Married, Does Not Want Child within 2 Years",0.197582195681778,1075,"NPIR81FL.DTA","Nepal",2022
"Married, Wants Child within 2 Years",0.0732575235459632,341,"NPIR81FL.DTA","Nepal",2022
"Not Married, Not Sexually Active",0.59920402651994,3150,"NPIR81FL.DTA","Nepal",2022
"Not Married, Sexually Active",0.000929723237482181,5,"NPIR81FL.DTA","Nepal",2022
"Infecund, Menopausal",0.172554461396577,1344,"NIIR61FL.DTA","Niger",2012
"Married, Does Not Want Child within 2 Years",0.475236792168085,3518,"NIIR61FL.DTA","Niger",2012
"Married, Wants Child within 2 Years",0.229221669083937,1729,"NIIR61FL.DTA","Niger",2012
"Not Married, Not Sexually Active",0.115795524478304,1297,"NIIR61FL.DTA","Niger",2012
"Not Married, Sexually Active",0.00719155287309671,62,"NIIR61FL.DTA","Niger",2012
"Infecund, Menopausal",0.184276813353457,5491,"NGIR6AFL.DTA","Nigeria",2013
"Married, Does Not Want Child within 2 Years",0.348658465006023,10310,"NGIR6AFL.DTA","Nigeria",2013
"Married, Wants Child within 2 Years",0.20842503093916,5642,"NGIR6AFL.DTA","Nigeria",2013
"Not Married, Not Sexually Active",0.237908873165986,7309,"NGIR6AFL.DTA","Nigeria",2013
"Not Married, Sexually Active",0.0207308175353742,730,"NGIR6AFL.DTA","Nigeria",2013
