Method,Var,Freq,SurveyName,Country,StartYear
Pill,Told About Side Effects,0.641399612,AMIR71FL.DTA,Armenia,2015
IUD,Told About Side Effects,0.939451373,AMIR71FL.DTA,Armenia,2015
Injections,Told About Side Effects,1,AMIR71FL.DTA,Armenia,2015
Female Sterilization,Told About Side Effects,0.773683157,AMIR71FL.DTA,Armenia,2015
Pill,Told What to Do About Side Effects,0.600764884,AMIR71FL.DTA,Armenia,2015
IUD,Told What to Do About Side Effects,0.92315722,AMIR71FL.DTA,Armenia,2015
Injections,Told What to Do About Side Effects,1,AMIR71FL.DTA,Armenia,2015
Female Sterilization,Told What to Do About Side Effects,0.773683157,AMIR71FL.DTA,Armenia,2015
Total,Method Information Index,0.609313058,AMIR71FL.DTA,Armenia,2015
Total,Told About Other Methods,0.645423233,AMIR71FL.DTA,Armenia,2015
Total,Told About Side Effects,0.86639054,AMIR71FL.DTA,Armenia,2015
Total,Told What to Do About Side Effects,0.845544441,AMIR71FL.DTA,Armenia,2015
Pill,Method Information Index,0.276470342,AMIR61FL.DTA,Armenia,2010
IUD,Method Information Index,0.403178029,AMIR61FL.DTA,Armenia,2010
Female Sterilization,Method Information Index,0.36160806,AMIR61FL.DTA,Armenia,2010
Pill,Told About Other Methods,0.595136081,AMIR61FL.DTA,Armenia,2010
IUD,Told About Other Methods,0.463687431,AMIR61FL.DTA,Armenia,2010
Female Sterilization,Told About Other Methods,0.36160806,AMIR61FL.DTA,Armenia,2010
Pill,Told About Side Effects,0.420064287,AMIR61FL.DTA,Armenia,2010
IUD,Told About Side Effects,0.797032443,AMIR61FL.DTA,Armenia,2010
Female Sterilization,Told About Side Effects,0.728288461,AMIR61FL.DTA,Armenia,2010
Pill,Told What to Do About Side Effects,0.317167203,AMIR61FL.DTA,Armenia,2010
IUD,Told What to Do About Side Effects,0.723392233,AMIR61FL.DTA,Armenia,2010
Female Sterilization,Told What to Do About Side Effects,0.662329065,AMIR61FL.DTA,Armenia,2010
Total,Method Information Index,0.380849083,AMIR61FL.DTA,Armenia,2010
Total,Told About Other Methods,0.483533593,AMIR61FL.DTA,Armenia,2010
Total,Told About Side Effects,0.731523146,AMIR61FL.DTA,Armenia,2010
Total,Told What to Do About Side Effects,0.653017064,AMIR61FL.DTA,Armenia,2010
Pill,Method Information Index,0.193287769,BJIR71FL.DTA,Benin,2017
IUD,Method Information Index,0.61227259,BJIR71FL.DTA,Benin,2017
Injections,Method Information Index,0.535206754,BJIR71FL.DTA,Benin,2017
Female Sterilization,Method Information Index,0.515613418,BJIR71FL.DTA,Benin,2017
Implant,Method Information Index,0.507386238,BJIR71FL.DTA,Benin,2017
Pill,Told About Other Methods,0.444316004,BJIR71FL.DTA,Benin,2017
IUD,Told About Other Methods,0.819794796,BJIR71FL.DTA,Benin,2017
Injections,Told About Other Methods,0.743807219,BJIR71FL.DTA,Benin,2017
Female Sterilization,Told About Other Methods,0.622637437,BJIR71FL.DTA,Benin,2017
Implant,Told About Other Methods,0.69627134,BJIR71FL.DTA,Benin,2017
Pill,Told About Side Effects,0.287621014,BJIR71FL.DTA,Benin,2017
IUD,Told About Side Effects,0.686762665,BJIR71FL.DTA,Benin,2017
Injections,Told About Side Effects,0.641611572,BJIR71FL.DTA,Benin,2017
Female Sterilization,Told About Side Effects,0.688064315,BJIR71FL.DTA,Benin,2017
Implant,Told About Side Effects,0.609716547,BJIR71FL.DTA,Benin,2017
Pill,Told What to Do About Side Effects,0.216022635,BJIR71FL.DTA,Benin,2017
IUD,Told What to Do About Side Effects,0.648742982,BJIR71FL.DTA,Benin,2017
Injections,Told What to Do About Side Effects,0.575906361,BJIR71FL.DTA,Benin,2017
Female Sterilization,Told What to Do About Side Effects,0.57292544,BJIR71FL.DTA,Benin,2017
Implant,Told What to Do About Side Effects,0.557743145,BJIR71FL.DTA,Benin,2017
Total,Method Information Index,0.486951776,BJIR71FL.DTA,Benin,2017
Total,Told About Other Methods,0.674009778,BJIR71FL.DTA,Benin,2017
Total,Told About Side Effects,0.585912828,BJIR71FL.DTA,Benin,2017
Total,Told What to Do About Side Effects,0.529801109,BJIR71FL.DTA,Benin,2017
Pill,Method Information Index,0.276481952,BJIR61FL.DTA,Benin,2011
IUD,Method Information Index,0.550745033,BJIR61FL.DTA,Benin,2011
Injections,Method Information Index,0.502349038,BJIR61FL.DTA,Benin,2011
Female Sterilization,Method Information Index,0.494692352,BJIR61FL.DTA,Benin,2011
Implant,Method Information Index,0.624530994,BJIR61FL.DTA,Benin,2011
Pill,Told About Other Methods,0.548873364,BJIR61FL.DTA,Benin,2011
IUD,Told About Other Methods,0.748257604,BJIR61FL.DTA,Benin,2011
Injections,Told About Other Methods,0.758560421,BJIR61FL.DTA,Benin,2011
Female Sterilization,Told About Other Methods,0.775065273,BJIR61FL.DTA,Benin,2011
Implant,Told About Other Methods,0.79612871,BJIR61FL.DTA,Benin,2011
Pill,Told About Side Effects,0.405339448,BJIR61FL.DTA,Benin,2011
IUD,Told About Side Effects,0.635950541,BJIR61FL.DTA,Benin,2011
Injections,Told About Side Effects,0.591342599,BJIR61FL.DTA,Benin,2011
Female Sterilization,Told About Side Effects,0.586707479,BJIR61FL.DTA,Benin,2011
Implant,Told About Side Effects,0.766348365,BJIR61FL.DTA,Benin,2011
Pill,Told What to Do About Side Effects,0.34393226,BJIR61FL.DTA,Benin,2011
IUD,Told What to Do About Side Effects,0.59779441,BJIR61FL.DTA,Benin,2011
Injections,Told What to Do About Side Effects,0.561246945,BJIR61FL.DTA,Benin,2011
Female Sterilization,Told What to Do About Side Effects,0.494692352,BJIR61FL.DTA,Benin,2011
Implant,Told What to Do About Side Effects,0.691842044,BJIR61FL.DTA,Benin,2011
Total,Method Information Index,0.461240796,BJIR61FL.DTA,Benin,2011
Total,Told About Other Methods,0.697441117,BJIR61FL.DTA,Benin,2011
Total,Told About Side Effects,0.57241615,BJIR61FL.DTA,Benin,2011
Total,Told What to Do About Side Effects,0.522171873,BJIR61FL.DTA,Benin,2011
Pill,Method Information Index,0.557787952,BFIR62FL.DTA,Burkina Faso,2010
IUD,Method Information Index,0.605138991,BFIR62FL.DTA,Burkina Faso,2010
Injections,Method Information Index,0.652735724,BFIR62FL.DTA,Burkina Faso,2010
Female Sterilization,Method Information Index,0.26410605,BFIR62FL.DTA,Burkina Faso,2010
Implant,Method Information Index,0.714647523,BFIR62FL.DTA,Burkina Faso,2010
Pill,Told About Other Methods,0.854884265,BFIR62FL.DTA,Burkina Faso,2010
IUD,Told About Other Methods,0.916545036,BFIR62FL.DTA,Burkina Faso,2010
Injections,Told About Other Methods,0.85713527,BFIR62FL.DTA,Burkina Faso,2010
Female Sterilization,Told About Other Methods,0.575566556,BFIR62FL.DTA,Burkina Faso,2010
Implant,Told About Other Methods,0.894807435,BFIR62FL.DTA,Burkina Faso,2010
Pill,Told About Side Effects,0.609932868,BFIR62FL.DTA,Burkina Faso,2010
IUD,Told About Side Effects,0.642625972,BFIR62FL.DTA,Burkina Faso,2010
Injections,Told About Side Effects,0.764439491,BFIR62FL.DTA,Burkina Faso,2010
Female Sterilization,Told About Side Effects,0.562617543,BFIR62FL.DTA,Burkina Faso,2010
Implant,Told About Side Effects,0.792325467,BFIR62FL.DTA,Burkina Faso,2010
Pill,Told What to Do About Side Effects,0.576012339,BFIR62FL.DTA,Burkina Faso,2010
IUD,Told What to Do About Side Effects,0.605138991,BFIR62FL.DTA,Burkina Faso,2010
Injections,Told What to Do About Side Effects,0.703067025,BFIR62FL.DTA,Burkina Faso,2010
Female Sterilization,Told What to Do About Side Effects,0.394052755,BFIR62FL.DTA,Burkina Faso,2010
Implant,Told What to Do About Side Effects,0.746323573,BFIR62FL.DTA,Burkina Faso,2010
Total,Method Information Index,0.641719369,BFIR62FL.DTA,Burkina Faso,2010
Total,Told About Other Methods,0.863244879,BFIR62FL.DTA,Burkina Faso,2010
Total,Told About Side Effects,0.729553528,BFIR62FL.DTA,Burkina Faso,2010
Total,Told What to Do About Side Effects,0.678744619,BFIR62FL.DTA,Burkina Faso,2010
Pill,Method Information Index,0.257434306,BUIR70FL.DTA,Burundi,2016
IUD,Method Information Index,0.294075428,BUIR70FL.DTA,Burundi,2016
Injections,Method Information Index,0.218081498,BUIR70FL.DTA,Burundi,2016
Female Sterilization,Method Information Index,0.129311241,BUIR70FL.DTA,Burundi,2016
Implant,Method Information Index,0.256214142,BUIR70FL.DTA,Burundi,2016
Pill,Told About Other Methods,0.715178172,BUIR70FL.DTA,Burundi,2016
IUD,Told About Other Methods,0.815295989,BUIR70FL.DTA,Burundi,2016
Injections,Told About Other Methods,0.760113648,BUIR70FL.DTA,Burundi,2016
Female Sterilization,Told About Other Methods,0.412877403,BUIR70FL.DTA,Burundi,2016
Implant,Told About Other Methods,0.77960356,BUIR70FL.DTA,Burundi,2016
Pill,Told About Side Effects,0.356704003,BUIR70FL.DTA,Burundi,2016
IUD,Told About Side Effects,0.330202531,BUIR70FL.DTA,Burundi,2016
Injections,Told About Side Effects,0.272823376,BUIR70FL.DTA,Burundi,2016
Female Sterilization,Told About Side Effects,0.151032436,BUIR70FL.DTA,Burundi,2016
Implant,Told About Side Effects,0.303846102,BUIR70FL.DTA,Burundi,2016
Pill,Told What to Do About Side Effects,0.289964538,BUIR70FL.DTA,Burundi,2016
IUD,Told What to Do About Side Effects,0.297748031,BUIR70FL.DTA,Burundi,2016
Injections,Told What to Do About Side Effects,0.237477973,BUIR70FL.DTA,Burundi,2016
Female Sterilization,Told What to Do About Side Effects,0.151032436,BUIR70FL.DTA,Burundi,2016
Implant,Told What to Do About Side Effects,0.285559268,BUIR70FL.DTA,Burundi,2016
Total,Method Information Index,0.234276309,BUIR70FL.DTA,Burundi,2016
Total,Told About Other Methods,0.752329895,BUIR70FL.DTA,Burundi,2016
Total,Told About Side Effects,0.289042019,BUIR70FL.DTA,Burundi,2016
Total,Told What to Do About Side Effects,0.257207601,BUIR70FL.DTA,Burundi,2016
Pill,Method Information Index,0.270083654,BUIR61FL.DTA,Burundi,2010
IUD,Method Information Index,0.27568357,BUIR61FL.DTA,Burundi,2010
Injections,Method Information Index,0.278910728,BUIR61FL.DTA,Burundi,2010
Female Sterilization,Method Information Index,0.030780605,BUIR61FL.DTA,Burundi,2010
Implant,Method Information Index,0.209185877,BUIR61FL.DTA,Burundi,2010
Pill,Told About Other Methods,0.711158623,BUIR61FL.DTA,Burundi,2010
IUD,Told About Other Methods,0.641290622,BUIR61FL.DTA,Burundi,2010
Injections,Told About Other Methods,0.698253992,BUIR61FL.DTA,Burundi,2010
Female Sterilization,Told About Other Methods,0.223052151,BUIR61FL.DTA,Burundi,2010
Implant,Told About Other Methods,0.701242841,BUIR61FL.DTA,Burundi,2010
Pill,Told About Side Effects,0.353656016,BUIR61FL.DTA,Burundi,2010
IUD,Told About Side Effects,0.361301233,BUIR61FL.DTA,Burundi,2010
Injections,Told About Side Effects,0.356745177,BUIR61FL.DTA,Burundi,2010
Female Sterilization,Told About Side Effects,0.191628158,BUIR61FL.DTA,Burundi,2010
Implant,Told About Side Effects,0.373034991,BUIR61FL.DTA,Burundi,2010
Pill,Told What to Do About Side Effects,0.279027378,BUIR61FL.DTA,Burundi,2010
IUD,Told What to Do About Side Effects,0.359633581,BUIR61FL.DTA,Burundi,2010
Injections,Told What to Do About Side Effects,0.32225936,BUIR61FL.DTA,Burundi,2010
Female Sterilization,Told What to Do About Side Effects,0.053619925,BUIR61FL.DTA,Burundi,2010
Implant,Told What to Do About Side Effects,0.260971984,BUIR61FL.DTA,Burundi,2010
Total,Method Information Index,0.268481127,BUIR61FL.DTA,Burundi,2010
Total,Told About Other Methods,0.678290864,BUIR61FL.DTA,Burundi,2010
Total,Told About Side Effects,0.353610905,BUIR61FL.DTA,Burundi,2010
Total,Told What to Do About Side Effects,0.313314696,BUIR61FL.DTA,Burundi,2010
Pill,Method Information Index,0.592855445,KHIR73FL.DTA,Cambodia,2014
IUD,Method Information Index,0.866737685,KHIR73FL.DTA,Cambodia,2014
Injections,Method Information Index,0.700810204,KHIR73FL.DTA,Cambodia,2014
Female Sterilization,Method Information Index,0.625309215,KHIR73FL.DTA,Cambodia,2014
Implant,Method Information Index,0.804105473,KHIR73FL.DTA,Cambodia,2014
Pill,Told About Other Methods,0.699412329,KHIR73FL.DTA,Cambodia,2014
IUD,Told About Other Methods,0.887582137,KHIR73FL.DTA,Cambodia,2014
Injections,Told About Other Methods,0.784969916,KHIR73FL.DTA,Cambodia,2014
Female Sterilization,Told About Other Methods,0.701678522,KHIR73FL.DTA,Cambodia,2014
Implant,Told About Other Methods,0.839169265,KHIR73FL.DTA,Cambodia,2014
Pill,Told About Side Effects,0.703125879,KHIR73FL.DTA,Cambodia,2014
IUD,Told About Side Effects,0.96417328,KHIR73FL.DTA,Cambodia,2014
Injections,Told About Side Effects,0.825461781,KHIR73FL.DTA,Cambodia,2014
Female Sterilization,Told About Side Effects,0.873715331,KHIR73FL.DTA,Cambodia,2014
Implant,Told About Side Effects,0.944051912,KHIR73FL.DTA,Cambodia,2014
Pill,Told What to Do About Side Effects,0.667235055,KHIR73FL.DTA,Cambodia,2014
IUD,Told What to Do About Side Effects,0.957798087,KHIR73FL.DTA,Cambodia,2014
Injections,Told What to Do About Side Effects,0.78138026,KHIR73FL.DTA,Cambodia,2014
Female Sterilization,Told What to Do About Side Effects,0.762749547,KHIR73FL.DTA,Cambodia,2014
Implant,Told What to Do About Side Effects,0.926805204,KHIR73FL.DTA,Cambodia,2014
Total,Method Information Index,0.674124893,KHIR73FL.DTA,Cambodia,2014
Total,Told About Other Methods,0.756991503,KHIR73FL.DTA,Cambodia,2014
Total,Told About Side Effects,0.796304499,KHIR73FL.DTA,Cambodia,2014
Total,Told What to Do About Side Effects,0.759345566,KHIR73FL.DTA,Cambodia,2014
Pill,Method Information Index,0.31071283,CMIR61FL.DTA,Cameroon,2011
IUD,Method Information Index,0.574364949,CMIR61FL.DTA,Cameroon,2011
Injections,Method Information Index,0.421477861,CMIR61FL.DTA,Cameroon,2011
Female Sterilization,Method Information Index,0.333535557,CMIR61FL.DTA,Cameroon,2011
Implant,Method Information Index,0.722700179,CMIR61FL.DTA,Cameroon,2011
Pill,Told About Other Methods,0.66269541,CMIR61FL.DTA,Cameroon,2011
IUD,Told About Other Methods,0.666759643,CMIR61FL.DTA,Cameroon,2011
Injections,Told About Other Methods,0.693792509,CMIR61FL.DTA,Cameroon,2011
Female Sterilization,Told About Other Methods,0.353353555,CMIR61FL.DTA,Cameroon,2011
Implant,Told About Other Methods,0.821734988,CMIR61FL.DTA,Cameroon,2011
Pill,Told About Side Effects,0.497024782,CMIR61FL.DTA,Cameroon,2011
IUD,Told About Side Effects,0.907605306,CMIR61FL.DTA,Cameroon,2011
Injections,Told About Side Effects,0.669484638,CMIR61FL.DTA,Cameroon,2011
Female Sterilization,Told About Side Effects,0.694281642,CMIR61FL.DTA,Cameroon,2011
Implant,Told About Side Effects,0.911111974,CMIR61FL.DTA,Cameroon,2011
Pill,Told What to Do About Side Effects,0.35112439,CMIR61FL.DTA,Cameroon,2011
IUD,Told What to Do About Side Effects,0.850099339,CMIR61FL.DTA,Cameroon,2011
Injections,Told What to Do About Side Effects,0.525817092,CMIR61FL.DTA,Cameroon,2011
Female Sterilization,Told What to Do About Side Effects,0.568953882,CMIR61FL.DTA,Cameroon,2011
Implant,Told What to Do About Side Effects,0.808445773,CMIR61FL.DTA,Cameroon,2011
Total,Method Information Index,0.41834912,CMIR61FL.DTA,Cameroon,2011
Total,Told About Other Methods,0.675983851,CMIR61FL.DTA,Cameroon,2011
Total,Told About Side Effects,0.646873145,CMIR61FL.DTA,Cameroon,2011
Total,Told What to Do About Side Effects,0.509718917,CMIR61FL.DTA,Cameroon,2011
Pill,Method Information Index,0.343683175,TDIR71FL.DTA,Chad,2014
IUD,Method Information Index,0.622239468,TDIR71FL.DTA,Chad,2014
Injections,Method Information Index,0.422593477,TDIR71FL.DTA,Chad,2014
Female Sterilization,Method Information Index,0.04001695,TDIR71FL.DTA,Chad,2014
Implant,Method Information Index,0.402242689,TDIR71FL.DTA,Chad,2014
Pill,Told About Other Methods,0.563873245,TDIR71FL.DTA,Chad,2014
IUD,Told About Other Methods,0.622239468,TDIR71FL.DTA,Chad,2014
Injections,Told About Other Methods,0.652213338,TDIR71FL.DTA,Chad,2014
Female Sterilization,Told About Other Methods,0.154817166,TDIR71FL.DTA,Chad,2014
Implant,Told About Other Methods,0.643183161,TDIR71FL.DTA,Chad,2014
Pill,Told About Side Effects,0.621182128,TDIR71FL.DTA,Chad,2014
IUD,Told About Side Effects,1,TDIR71FL.DTA,Chad,2014
Injections,Told About Side Effects,0.618947873,TDIR71FL.DTA,Chad,2014
Female Sterilization,Told About Side Effects,0.517820132,TDIR71FL.DTA,Chad,2014
Implant,Told About Side Effects,0.638320452,TDIR71FL.DTA,Chad,2014
Pill,Told What to Do About Side Effects,0.531517798,TDIR71FL.DTA,Chad,2014
IUD,Told What to Do About Side Effects,1,TDIR71FL.DTA,Chad,2014
Injections,Told What to Do About Side Effects,0.521334194,TDIR71FL.DTA,Chad,2014
Female Sterilization,Told What to Do About Side Effects,0.261713725,TDIR71FL.DTA,Chad,2014
Implant,Told What to Do About Side Effects,0.524550107,TDIR71FL.DTA,Chad,2014
Total,Method Information Index,0.387373669,TDIR71FL.DTA,Chad,2014
Total,Told About Other Methods,0.609859038,TDIR71FL.DTA,Chad,2014
Total,Told About Side Effects,0.622302851,TDIR71FL.DTA,Chad,2014
Total,Told What to Do About Side Effects,0.512528978,TDIR71FL.DTA,Chad,2014
Pill,Method Information Index,0.425951049,KMIR61FL.DTA,Comoros,2012
IUD,Method Information Index,0.266035165,KMIR61FL.DTA,Comoros,2012
Injections,Method Information Index,0.311577723,KMIR61FL.DTA,Comoros,2012
Female Sterilization,Method Information Index,0.355418874,KMIR61FL.DTA,Comoros,2012
Implant,Method Information Index,0.513767008,KMIR61FL.DTA,Comoros,2012
Pill,Told About Other Methods,0.659722766,KMIR61FL.DTA,Comoros,2012
IUD,Told About Other Methods,0.266035165,KMIR61FL.DTA,Comoros,2012
Injections,Told About Other Methods,0.633407773,KMIR61FL.DTA,Comoros,2012
Female Sterilization,Told About Other Methods,0.418688241,KMIR61FL.DTA,Comoros,2012
Implant,Told About Other Methods,0.742473739,KMIR61FL.DTA,Comoros,2012
Pill,Told About Side Effects,0.529975557,KMIR61FL.DTA,Comoros,2012
IUD,Told About Side Effects,0.266035165,KMIR61FL.DTA,Comoros,2012
Injections,Told About Side Effects,0.524608741,KMIR61FL.DTA,Comoros,2012
Female Sterilization,Told About Side Effects,0.637183141,KMIR61FL.DTA,Comoros,2012
Implant,Told About Side Effects,0.722435797,KMIR61FL.DTA,Comoros,2012
Pill,Told What to Do About Side Effects,0.474303895,KMIR61FL.DTA,Comoros,2012
IUD,Told What to Do About Side Effects,0.266035165,KMIR61FL.DTA,Comoros,2012
Injections,Told What to Do About Side Effects,0.387191842,KMIR61FL.DTA,Comoros,2012
Female Sterilization,Told What to Do About Side Effects,0.55578702,KMIR61FL.DTA,Comoros,2012
Implant,Told What to Do About Side Effects,0.562722862,KMIR61FL.DTA,Comoros,2012
Total,Method Information Index,0.376641106,KMIR61FL.DTA,Comoros,2012
Total,Told About Other Methods,0.645235279,KMIR61FL.DTA,Comoros,2012
Total,Told About Side Effects,0.561385198,KMIR61FL.DTA,Comoros,2012
Total,Told What to Do About Side Effects,0.445815811,KMIR61FL.DTA,Comoros,2012
Pill,Method Information Index,0.307398811,CGIR60FL.DTA,Congo,2011
IUD,Method Information Index,0.157221785,CGIR60FL.DTA,Congo,2011
Injections,Method Information Index,0.335010492,CGIR60FL.DTA,Congo,2011
Female Sterilization,Method Information Index,0.055598969,CGIR60FL.DTA,Congo,2011
Implant,Method Information Index,0.733773119,CGIR60FL.DTA,Congo,2011
Pill,Told About Other Methods,0.494988913,CGIR60FL.DTA,Congo,2011
IUD,Told About Other Methods,1,CGIR60FL.DTA,Congo,2011
Injections,Told About Other Methods,0.547401482,CGIR60FL.DTA,Congo,2011
Female Sterilization,Told About Other Methods,0.129391634,CGIR60FL.DTA,Congo,2011
Implant,Told About Other Methods,0.76010026,CGIR60FL.DTA,Congo,2011
Pill,Told About Side Effects,0.509800812,CGIR60FL.DTA,Congo,2011
IUD,Told About Side Effects,0.157221785,CGIR60FL.DTA,Congo,2011
Injections,Told About Side Effects,0.627531307,CGIR60FL.DTA,Congo,2011
Female Sterilization,Told About Side Effects,0.627084818,CGIR60FL.DTA,Congo,2011
Implant,Told About Side Effects,0.792361022,CGIR60FL.DTA,Congo,2011
Pill,Told What to Do About Side Effects,0.401582458,CGIR60FL.DTA,Congo,2011
IUD,Told What to Do About Side Effects,0.157221785,CGIR60FL.DTA,Congo,2011
Injections,Told What to Do About Side Effects,0.537443751,CGIR60FL.DTA,Congo,2011
Female Sterilization,Told What to Do About Side Effects,0.579715243,CGIR60FL.DTA,Congo,2011
Implant,Told What to Do About Side Effects,0.792361022,CGIR60FL.DTA,Congo,2011
Total,Method Information Index,0.321644207,CGIR60FL.DTA,Congo,2011
Total,Told About Other Methods,0.516314914,CGIR60FL.DTA,Congo,2011
Total,Told About Side Effects,0.564655374,CGIR60FL.DTA,Congo,2011
Total,Told What to Do About Side Effects,0.467697008,CGIR60FL.DTA,Congo,2011
Pill,Method Information Index,0.322299161,DRIR61FL.DTA,Dominican Republic,2013
IUD,Method Information Index,0.555609871,DRIR61FL.DTA,Dominican Republic,2013
Injections,Method Information Index,0.359441299,DRIR61FL.DTA,Dominican Republic,2013
Female Sterilization,Method Information Index,0.184603958,DRIR61FL.DTA,Dominican Republic,2013
Implant,Method Information Index,0.56406385,DRIR61FL.DTA,Dominican Republic,2013
Pill,Told About Other Methods,0.632037666,DRIR61FL.DTA,Dominican Republic,2013
IUD,Told About Other Methods,0.784470506,DRIR61FL.DTA,Dominican Republic,2013
Injections,Told About Other Methods,0.695811184,DRIR61FL.DTA,Dominican Republic,2013
Female Sterilization,Told About Other Methods,0.385828128,DRIR61FL.DTA,Dominican Republic,2013
Implant,Told About Other Methods,0.812049077,DRIR61FL.DTA,Dominican Republic,2013
Pill,Told About Side Effects,0.464090333,DRIR61FL.DTA,Dominican Republic,2013
IUD,Told About Side Effects,0.723297822,DRIR61FL.DTA,Dominican Republic,2013
Injections,Told About Side Effects,0.569615343,DRIR61FL.DTA,Dominican Republic,2013
Female Sterilization,Told About Side Effects,0.325848398,DRIR61FL.DTA,Dominican Republic,2013
Implant,Told About Side Effects,0.639264428,DRIR61FL.DTA,Dominican Republic,2013
Pill,Told What to Do About Side Effects,0.361880481,DRIR61FL.DTA,Dominican Republic,2013
IUD,Told What to Do About Side Effects,0.637396965,DRIR61FL.DTA,Dominican Republic,2013
Injections,Told What to Do About Side Effects,0.38487669,DRIR61FL.DTA,Dominican Republic,2013
Female Sterilization,Told What to Do About Side Effects,0.247963299,DRIR61FL.DTA,Dominican Republic,2013
Implant,Told What to Do About Side Effects,0.581698081,DRIR61FL.DTA,Dominican Republic,2013
Total,Method Information Index,0.247650587,DRIR61FL.DTA,Dominican Republic,2013
Total,Told About Other Methods,0.488707331,DRIR61FL.DTA,Dominican Republic,2013
