Group,Intention,Freq,N,SurveyName,Country,StartYear
"Married, Does Not Want Child within 2 Years",use later,0.419925273,1075,BJIR61FL.DTA,Benin,2011
"Married, Wants Child within 2 Years",does not intend,0.3990449,375,BJIR61FL.DTA,Benin,2011
"Married, Wants Child within 2 Years",unsure about use,0.202230837,375,BJIR61FL.DTA,Benin,2011
"Married, Wants Child within 2 Years",use later,0.398724263,375,BJIR61FL.DTA,Benin,2011
"Not Married, Not Sexually Active",does not intend,0.311876813,422,BJIR61FL.DTA,Benin,2011
"Not Married, Not Sexually Active",unsure about use,0.259913708,422,BJIR61FL.DTA,Benin,2011
"Not Married, Not Sexually Active",use later,0.428209479,422,BJIR61FL.DTA,Benin,2011
"Not Married, Sexually Active",does not intend,0.182503299,150,BJIR61FL.DTA,Benin,2011
"Not Married, Sexually Active",unsure about use,0.162622643,150,BJIR61FL.DTA,Benin,2011
"Not Married, Sexually Active",use later,0.654874058,150,BJIR61FL.DTA,Benin,2011
All Never Users,does not intend,0.197209588,1440,BFIR62FL.DTA,Burkina Faso,2010
All Never Users,unsure about use,0.01404308,1440,BFIR62FL.DTA,Burkina Faso,2010
All Never Users,use later,0.783723367,1440,BFIR62FL.DTA,Burkina Faso,2010
All Never Users,,0.005023965,1440,BFIR62FL.DTA,Burkina Faso,2010
"Infecund, Menopausal",does not intend,0.803402007,59,BFIR62FL.DTA,Burkina Faso,2010
"Infecund, Menopausal",unsure about use,0,59,BFIR62FL.DTA,Burkina Faso,2010
"Infecund, Menopausal",use later,0.184459926,59,BFIR62FL.DTA,Burkina Faso,2010
"Infecund, Menopausal",,0.012138067,59,BFIR62FL.DTA,Burkina Faso,2010
"Married, Does Not Want Child within 2 Years",does not intend,0.145676198,997,BFIR62FL.DTA,Burkina Faso,2010
"Married, Does Not Want Child within 2 Years",unsure about use,0.01569285,997,BFIR62FL.DTA,Burkina Faso,2010
"Married, Does Not Want Child within 2 Years",use later,0.83546919,997,BFIR62FL.DTA,Burkina Faso,2010
"Married, Does Not Want Child within 2 Years",,0.003161761,997,BFIR62FL.DTA,Burkina Faso,2010
"Married, Wants Child within 2 Years",does not intend,0.256918157,256,BFIR62FL.DTA,Burkina Faso,2010
"Married, Wants Child within 2 Years",unsure about use,0.007527596,256,BFIR62FL.DTA,Burkina Faso,2010
"Married, Wants Child within 2 Years",use later,0.735554247,256,BFIR62FL.DTA,Burkina Faso,2010
"Married, Wants Child within 2 Years",,0,256,BFIR62FL.DTA,Burkina Faso,2010
"Not Married, Not Sexually Active",does not intend,0.193333633,100,BFIR62FL.DTA,Burkina Faso,2010
"Not Married, Not Sexually Active",unsure about use,0.023889972,100,BFIR62FL.DTA,Burkina Faso,2010
"Not Married, Not Sexually Active",use later,0.752381951,100,BFIR62FL.DTA,Burkina Faso,2010
"Not Married, Not Sexually Active",,0.030394444,100,BFIR62FL.DTA,Burkina Faso,2010
"Not Married, Sexually Active",does not intend,0.221161339,28,BFIR62FL.DTA,Burkina Faso,2010
"Not Married, Sexually Active",unsure about use,0,28,BFIR62FL.DTA,Burkina Faso,2010
"Not Married, Sexually Active",use later,0.778838661,28,BFIR62FL.DTA,Burkina Faso,2010
"Not Married, Sexually Active",,0,28,BFIR62FL.DTA,Burkina Faso,2010
All Never Users,does not intend,0.319227182,2820,BUIR70FL.DTA,Burundi,2016
All Never Users,unsure about use,0.00936713,2820,BUIR70FL.DTA,Burundi,2016
All Never Users,use later,0.671405687,2820,BUIR70FL.DTA,Burundi,2016
"Infecund, Menopausal",does not intend,0.742102262,151,BUIR70FL.DTA,Burundi,2016
"Infecund, Menopausal",unsure about use,0.016175318,151,BUIR70FL.DTA,Burundi,2016
"Infecund, Menopausal",use later,0.24172242,151,BUIR70FL.DTA,Burundi,2016
"Married, Does Not Want Child within 2 Years",does not intend,0.264326888,1921,BUIR70FL.DTA,Burundi,2016
"Married, Does Not Want Child within 2 Years",unsure about use,0.007952413,1921,BUIR70FL.DTA,Burundi,2016
"Married, Does Not Want Child within 2 Years",use later,0.727720699,1921,BUIR70FL.DTA,Burundi,2016
"Married, Wants Child within 2 Years",does not intend,0.29697772,301,BUIR70FL.DTA,Burundi,2016
"Married, Wants Child within 2 Years",unsure about use,0.006034897,301,BUIR70FL.DTA,Burundi,2016
"Married, Wants Child within 2 Years",use later,0.696987383,301,BUIR70FL.DTA,Burundi,2016
"Not Married, Not Sexually Active",does not intend,0.478620514,356,BUIR70FL.DTA,Burundi,2016
"Not Married, Not Sexually Active",unsure about use,0.019258766,356,BUIR70FL.DTA,Burundi,2016
"Not Married, Not Sexually Active",use later,0.50212072,356,BUIR70FL.DTA,Burundi,2016
"Not Married, Sexually Active",does not intend,0.209075383,91,BUIR70FL.DTA,Burundi,2016
"Not Married, Sexually Active",unsure about use,0,91,BUIR70FL.DTA,Burundi,2016
"Not Married, Sexually Active",use later,0.790924617,91,BUIR70FL.DTA,Burundi,2016
All Never Users,does not intend,0.114318331,640,BUIR61FL.DTA,Burundi,2010
All Never Users,unsure about use,0.021231422,640,BUIR61FL.DTA,Burundi,2010
All Never Users,use later,0.859726084,640,BUIR61FL.DTA,Burundi,2010
All Never Users,,0.004724163,640,BUIR61FL.DTA,Burundi,2010
"Infecund, Menopausal",does not intend,0.277665387,38,BUIR61FL.DTA,Burundi,2010
"Infecund, Menopausal",unsure about use,0.01659463,38,BUIR61FL.DTA,Burundi,2010
"Infecund, Menopausal",use later,0.705739983,38,BUIR61FL.DTA,Burundi,2010
"Infecund, Menopausal",,0,38,BUIR61FL.DTA,Burundi,2010
"Married, Does Not Want Child within 2 Years",does not intend,0.100180221,439,BUIR61FL.DTA,Burundi,2010
"Married, Does Not Want Child within 2 Years",unsure about use,0.024425527,439,BUIR61FL.DTA,Burundi,2010
"Married, Does Not Want Child within 2 Years",use later,0.872207299,439,BUIR61FL.DTA,Burundi,2010
"Married, Does Not Want Child within 2 Years",,0.003186953,439,BUIR61FL.DTA,Burundi,2010
"Married, Wants Child within 2 Years",does not intend,0.032841466,83,BUIR61FL.DTA,Burundi,2010
"Married, Wants Child within 2 Years",unsure about use,0.011024509,83,BUIR61FL.DTA,Burundi,2010
"Married, Wants Child within 2 Years",use later,0.956134024,83,BUIR61FL.DTA,Burundi,2010
"Married, Wants Child within 2 Years",,0,83,BUIR61FL.DTA,Burundi,2010
"Not Married, Not Sexually Active",does not intend,0.219896497,59,BUIR61FL.DTA,Burundi,2010
"Not Married, Not Sexually Active",unsure about use,0.0231682,59,BUIR61FL.DTA,Burundi,2010
"Not Married, Not Sexually Active",use later,0.756935303,59,BUIR61FL.DTA,Burundi,2010
"Not Married, Not Sexually Active",,0,59,BUIR61FL.DTA,Burundi,2010
"Not Married, Sexually Active",does not intend,0.200565347,21,BUIR61FL.DTA,Burundi,2010
"Not Married, Sexually Active",unsure about use,0,21,BUIR61FL.DTA,Burundi,2010
"Not Married, Sexually Active",use later,0.723052692,21,BUIR61FL.DTA,Burundi,2010
"Not Married, Sexually Active",,0.076381961,21,BUIR61FL.DTA,Burundi,2010
All Never Users,does not intend,0.361290523,2488,KHIR73FL.DTA,Cambodia,2014
All Never Users,unsure about use,0.054464156,2488,KHIR73FL.DTA,Cambodia,2014
All Never Users,use later,0.584245321,2488,KHIR73FL.DTA,Cambodia,2014
"Infecund, Menopausal",does not intend,0.819237591,362,KHIR73FL.DTA,Cambodia,2014
"Infecund, Menopausal",unsure about use,0.028472478,362,KHIR73FL.DTA,Cambodia,2014
"Infecund, Menopausal",use later,0.152289931,362,KHIR73FL.DTA,Cambodia,2014
"Married, Does Not Want Child within 2 Years",does not intend,0.273836956,1434,KHIR73FL.DTA,Cambodia,2014
"Married, Does Not Want Child within 2 Years",unsure about use,0.041588421,1434,KHIR73FL.DTA,Cambodia,2014
"Married, Does Not Want Child within 2 Years",use later,0.684574623,1434,KHIR73FL.DTA,Cambodia,2014
"Married, Wants Child within 2 Years",does not intend,0.217978802,361,KHIR73FL.DTA,Cambodia,2014
"Married, Wants Child within 2 Years",unsure about use,0.060938933,361,KHIR73FL.DTA,Cambodia,2014
"Married, Wants Child within 2 Years",use later,0.721082265,361,KHIR73FL.DTA,Cambodia,2014
"Not Married, Not Sexually Active",does not intend,0.450042462,309,KHIR73FL.DTA,Cambodia,2014
"Not Married, Not Sexually Active",unsure about use,0.137550786,309,KHIR73FL.DTA,Cambodia,2014
"Not Married, Not Sexually Active",use later,0.412406752,309,KHIR73FL.DTA,Cambodia,2014
"Not Married, Sexually Active",does not intend,0.133022105,22,KHIR73FL.DTA,Cambodia,2014
"Not Married, Sexually Active",unsure about use,0.073341468,22,KHIR73FL.DTA,Cambodia,2014
"Not Married, Sexually Active",use later,0.793636427,22,KHIR73FL.DTA,Cambodia,2014
All Never Users,does not intend,0.311516795,3083,CMIR61FL.DTA,Cameroon,2011
All Never Users,unsure about use,0.049007504,3083,CMIR61FL.DTA,Cameroon,2011
All Never Users,use later,0.639475701,3083,CMIR61FL.DTA,Cameroon,2011
"Infecund, Menopausal",does not intend,0.860937152,235,CMIR61FL.DTA,Cameroon,2011
"Infecund, Menopausal",unsure about use,0.021688894,235,CMIR61FL.DTA,Cameroon,2011
"Infecund, Menopausal",use later,0.117373955,235,CMIR61FL.DTA,Cameroon,2011
"Married, Does Not Want Child within 2 Years",does not intend,0.21786641,1499,CMIR61FL.DTA,Cameroon,2011
"Married, Does Not Want Child within 2 Years",unsure about use,0.045737629,1499,CMIR61FL.DTA,Cameroon,2011
"Married, Does Not Want Child within 2 Years",use later,0.736395961,1499,CMIR61FL.DTA,Cameroon,2011
"Married, Wants Child within 2 Years",does not intend,0.351352646,561,CMIR61FL.DTA,Cameroon,2011
"Married, Wants Child within 2 Years",unsure about use,0.043123689,561,CMIR61FL.DTA,Cameroon,2011
"Married, Wants Child within 2 Years",use later,0.605523665,561,CMIR61FL.DTA,Cameroon,2011
"Not Married, Not Sexually Active",does not intend,0.332066361,504,CMIR61FL.DTA,Cameroon,2011
"Not Married, Not Sexually Active",unsure about use,0.058350135,504,CMIR61FL.DTA,Cameroon,2011
"Not Married, Not Sexually Active",use later,0.609583504,504,CMIR61FL.DTA,Cameroon,2011
"Not Married, Sexually Active",does not intend,0.222680062,284,CMIR61FL.DTA,Cameroon,2011
"Not Married, Sexually Active",unsure about use,0.083610177,284,CMIR61FL.DTA,Cameroon,2011
"Not Married, Sexually Active",use later,0.693709761,284,CMIR61FL.DTA,Cameroon,2011
All Never Users,does not intend,0.405973426,476,TDIR71FL.DTA,Chad,2014
All Never Users,unsure about use,0.061304154,476,TDIR71FL.DTA,Chad,2014
All Never Users,use later,0.532722421,476,TDIR71FL.DTA,Chad,2014
"Infecund, Menopausal",does not intend,0.925154784,49,TDIR71FL.DTA,Chad,2014
"Infecund, Menopausal",unsure about use,0.016911739,49,TDIR71FL.DTA,Chad,2014
"Infecund, Menopausal",use later,0.057933477,49,TDIR71FL.DTA,Chad,2014
"Married, Does Not Want Child within 2 Years",does not intend,0.29621711,266,TDIR71FL.DTA,Chad,2014
"Married, Does Not Want Child within 2 Years",unsure about use,0.062666846,266,TDIR71FL.DTA,Chad,2014
"Married, Does Not Want Child within 2 Years",use later,0.641116045,266,TDIR71FL.DTA,Chad,2014
"Married, Wants Child within 2 Years",does not intend,0.469312526,77,TDIR71FL.DTA,Chad,2014
"Married, Wants Child within 2 Years",unsure about use,0.075194458,77,TDIR71FL.DTA,Chad,2014
"Married, Wants Child within 2 Years",use later,0.455493016,77,TDIR71FL.DTA,Chad,2014
"Not Married, Not Sexually Active",does not intend,0.452141639,62,TDIR71FL.DTA,Chad,2014
"Not Married, Not Sexually Active",unsure about use,0.087526696,62,TDIR71FL.DTA,Chad,2014
"Not Married, Not Sexually Active",use later,0.460331665,62,TDIR71FL.DTA,Chad,2014
"Not Married, Sexually Active",does not intend,0.272342524,22,TDIR71FL.DTA,Chad,2014
"Not Married, Sexually Active",unsure about use,0.035773352,22,TDIR71FL.DTA,Chad,2014
"Not Married, Sexually Active",use later,0.691884123,22,TDIR71FL.DTA,Chad,2014
All Never Users,does not intend,0.449819307,417,KMIR61FL.DTA,Comoros,2012
All Never Users,unsure about use,0.159999069,417,KMIR61FL.DTA,Comoros,2012
All Never Users,use later,0.348870484,417,KMIR61FL.DTA,Comoros,2012
All Never Users,,0.04131114,417,KMIR61FL.DTA,Comoros,2012
"Infecund, Menopausal",does not intend,0.796865275,37,KMIR61FL.DTA,Comoros,2012
"Infecund, Menopausal",unsure about use,0.131259773,37,KMIR61FL.DTA,Comoros,2012
"Infecund, Menopausal",use later,0.071874952,37,KMIR61FL.DTA,Comoros,2012
"Infecund, Menopausal",,0,37,KMIR61FL.DTA,Comoros,2012
"Married, Does Not Want Child within 2 Years",does not intend,0.39083255,251,KMIR61FL.DTA,Comoros,2012
"Married, Does Not Want Child within 2 Years",unsure about use,0.122136249,251,KMIR61FL.DTA,Comoros,2012
"Married, Does Not Want Child within 2 Years",use later,0.450067738,251,KMIR61FL.DTA,Comoros,2012
"Married, Does Not Want Child within 2 Years",,0.036963463,251,KMIR61FL.DTA,Comoros,2012
"Married, Wants Child within 2 Years",does not intend,0.591495791,79,KMIR61FL.DTA,Comoros,2012
"Married, Wants Child within 2 Years",unsure about use,0.242382394,79,KMIR61FL.DTA,Comoros,2012
"Married, Wants Child within 2 Years",use later,0.158448957,79,KMIR61FL.DTA,Comoros,2012
"Married, Wants Child within 2 Years",,0.007672858,79,KMIR61FL.DTA,Comoros,2012
"Not Married, Not Sexually Active",does not intend,0.454513776,44,KMIR61FL.DTA,Comoros,2012
"Not Married, Not Sexually Active",unsure about use,0.221473248,44,KMIR61FL.DTA,Comoros,2012
"Not Married, Not Sexually Active",use later,0.324012975,44,KMIR61FL.DTA,Comoros,2012
"Not Married, Not Sexually Active",,0,44,KMIR61FL.DTA,Comoros,2012
